ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id
CNO,KCNO,Chino,CHINO,CA,33.97477930555556,-117.63648283333335,650.0,3,7000,1,E85CA6FE-31D6-42BD-8C4E-B703611C7006
FAT,KFAT,Fresno Yosemite Intl,FRESNO,CA,36.776555555555554,-119.71883333333334,335.5,2,9539,2,585087D1-48DB-42D9-8F5E-DC09DBC35EB8
IYK,KIYK,Inyokern,INYOKERN,CA,35.65874127777778,-117.8295325,2457.0,3,7100,1,CA209931-9CE5-499E-84FF-39A79105170E
WJF,KWJF,General Wm J Fox Airfield,LANCASTER,CA,34.741055555555555,-118.21863888888889,2350.7,1,7201,1,C31281FB-2569-4014-9D39-30A165326CE0
LAX,KLAX,Los Angeles Intl,LOS ANGELES,CA,33.942496388888884,-118.40804861111111,127.8,4,12923,4,2C5866F1-5E27-4032-9AF8-988CE5DB82BA
LGB,KLGB,Long Beach (Daugherty Fld),LONG BEACH,CA,33.817929722222225,-118.15189055555557,60.4,7,10000,1,B4B5BE1A-ECEC-4B67-BFA4-4D46C313674C
MMH,KMMH,Mammoth Yosemite,MAMMOTH LAKES,CA,37.62405555555556,-118.83874999999999,7134.8,1,7000,1,5204A525-3E71-471B-8B75-2F4352067F35
SIY,KSIY,Siskiyou County,MONTAGUE,CA,41.781444444444446,-122.46811111111111,2651.1,1,7490,1,33C0D719-9CF1-488F-B4B6-1601533475E8
MRY,KMRY,Monterey Rgnl,MONTEREY,CA,36.58695222222222,-121.84278305555556,256.6,2,7175,1,4319FC79-3107-43D3-BFA9-931E2714A505
ONT,KONT,Ontario Intl,ONTARIO,CA,34.056014166666664,-117.6011875,944.1,2,12197,2,2125B26E-93B2-4B8D-9F3A-54BEDD4A4678
PSP,KPSP,Palm Springs Intl,PALM SPRINGS,CA,33.82966972222223,-116.50669416666666,476.6,2,10000,1,D207DB5C-CC14-49EC-BFC7-9D5BFC1F9979
TRM,KTRM,Jacqueline Cochran Rgnl,PALM SPRINGS,CA,33.626670555555556,-116.15965444444446,-114.4,2,8500,1,5F6322EB-F3FF-437A-A43F-AD2F22AADE20
RDD,KRDD,Redding Rgnl,REDDING,CA,40.508985277777775,-122.29338527777777,505.0,2,7003,1,DB91912A-5C38-4EA7-882B-81C756F21AA6
RIV,KRIV,March ARB,RIVERSIDE,CA,33.88194333333333,-117.25901694444444,1536.0,2,13302,1,E4465C8D-3CF6-458D-906F-53AFBB4DBBF6
SBD,KSBD,San Bernardino Intl,SAN BERNARDINO,CA,34.09536111111111,-117.23488888888889,1159.3,1,10000,1,A575928E-3A97-40BE-8BD8-9D787A016D71
MER,KMER,Castle,ATWATER,CA,37.38048444444445,-120.56818638888889,190.4,1,11802,1,21A13887-0413-4B4F-8466-4E0561B1787E
MHV,KMHV,Mojave Air & Space Port/Rutan Fld,MOJAVE,CA,35.05894444444444,-118.15061111111112,2801.3,3,12503,2,3F2525C2-B324-4197-8869-CEEDEE654E86
OAK,KOAK,Oakland San Francisco Bay,OAKLAND,CA,37.72126138888889,-122.22115055555555,9.0,4,10520,1,A99B9655-47F5-414C-974A-5390FBF73766
PMD,KPMD,Palmdale USAF Plant 42,PALMDALE,CA,34.62938888888889,-118.08455277777777,2542.5,3,12002,2,38E399EE-208C-46AE-806E-7D3520106DCB
SMF,KSMF,Sacramento Intl,SACRAMENTO,CA,38.69544444444444,-121.59077777777777,26.9,2,8605,2,EE881727-2974-4A52-ABDC-2AD492C7B378
MHR,KMHR,Sacramento Mather,SACRAMENTO,CA,38.55531083333333,-121.29721138888888,98.3,4,11301,1,DF6D6956-DEA7-4FA8-9BE0-B6DD79CC83C1
MCC,KMCC,Mc Clellan Airfield,SACRAMENTO,CA,38.66763888888889,-121.40061111111112,76.8,5,10599,1,0F5F52B3-D04F-41E8-8D1D-DEC03FA2765F
SAN,KSAN,San Diego Intl,SAN DIEGO,CA,32.73356277777778,-117.18966333333334,16.8,1,9401,1,50CC510F-CE80-405D-BE8D-05AFC123107F
SDM,KSDM,Brown Fld Muni,SAN DIEGO,CA,32.57227777777778,-116.98016666666666,526.1,2,7972,1,950C9604-9544-4347-B30A-0C49CAC652B9
SFO,KSFO,San Francisco Intl,SAN FRANCISCO,CA,37.618805555555554,-122.37541666666667,13.1,4,11870,4,AF8BC34D-2D11-4CDB-9E87-33A0D430C055
TVL,KTVL,Lake Tahoe,SOUTH LAKE TAHOE,CA,38.89388888888889,-119.99533333333333,6268.4,1,8541,1,05981CEA-F538-4257-96A0-875953152EA0
SCK,KSCK,Stockton Metro,STOCKTON,CA,37.89441194444444,-121.23874416666666,32.6,3,10245,1,94BFA17A-7697-42FC-9DFB-D43981199D79
VCV,KVCV,Southern California Logistics,VICTORVILLE,CA,34.59552611111111,-117.38266222222222,2885.3,2,13052,2,D0BF5C97-F023-4A00-A9DE-B7317305C810
SJC,KSJC,Norman Y Mineta San Jose Intl,SAN JOSE,CA,37.362994722222226,-121.92862055555555,62.2,2,11000,2,ACA1CDD6-3606-47F8-9A7B-904DB1B3DBC5
SMX,KSMX,Santa Maria Pub/Capt G Allan Hancock Fld,SANTA MARIA,CA,34.89994444444444,-120.45808333333333,261.2,2,8004,1,605D412E-8AB9-441C-80A7-449F8325B60D
TRK,KTRK,Truckee-Tahoe,TRUCKEE,CA,39.32005555555556,-120.13958333333333,5904.3,2,7001,1,92913B4C-F1B6-4E8C-812E-E26CA35C793E
VNY,KVNY,Van Nuys,VAN NUYS,CA,34.20980555555556,-118.48997222222222,802.1,2,8001,1,F0AFB4E6-592A-46B2-A76A-5376CC5A0016
AKO,KAKO,Colorado Plains Rgnl,AKRON,CO,40.175638888888884,-103.22202777777778,4716.0,1,7001,1,FFC5EC9B-25FF-4A24-8B15-F8FC0CDE1076
ALS,KALS,San Luis Valley Rgnl/Bergman Fld,ALAMOSA,CO,37.435125,-105.86787527777777,7539.8,1,8521,1,59503C2C-094C-4E9F-A653-FD38171DC875
ASE,KASE,Aspen-Pitkin County/Sardy Fld,ASPEN,CO,39.221878333333336,-106.86823333333332,7837.9,2,8006,1,9EC20B1A-FBA8-403D-AD93-57DB7EE3B6E3
COS,KCOS,City of Colorado Springs Muni,COLORADO SPRINGS,CO,38.805816666666665,-104.7007763888889,6187.0,3,13500,3,4C511534-D62F-4887-B21D-5D4EA72F0964
CEZ,KCEZ,Cortez Muni,CORTEZ,CO,37.3030025,-108.62804416666665,5917.6,1,7205,1,F8AD3CC1-A9D7-4A62-8847-B6769A5C6878
EGE,KEGE,Eagle County Rgnl,EAGLE,CO,39.64275,-106.91594444444445,6547.4,2,9000,1,1585749B-0F3E-4DBA-8130-BEB3CE1782F7
AEJ,KAEJ,Central Colorado Rgnl,BUENA VISTA,CO,38.81419444444444,-106.1206111111111,7950.4,1,8303,1,F93300CB-C7AD-4F56-AD68-D15E5EF6FCCD
1V8,,Leach,CENTER,CO,37.78491666666667,-106.04691666666666,7598.0,1,7000,1,61A8EE20-58C4-4A12-BF69-308C4E2DDAED
BJC,KBJC,Rocky Mountain Metro,DENVER,CO,39.90880555555555,-105.11719444444444,5673.4,3,9000,2,338AC1EC-7F12-4F3D-932E-E37882849344
APA,KAPA,Centennial,DENVER,CO,39.57011861111111,-104.84929305555555,5884.9,4,10001,2,F45128FD-465B-4CD2-9CCA-F022A4152561
DEN,KDEN,Denver Intl,DENVER,CO,39.861666666666665,-104.67316666666667,5433.8,6,16000,6,0E6F2D50-AF47-445C-BE2A-B163C1F6EB04
CFO,KCFO,Colorado Air and Space Port,DENVER,CO,39.784194444444445,-104.53763888888889,5515.2,2,8002,2,E55DF3FE-4262-4D7D-9004-FA06CFB3A007
DRO,KDRO,Durango-La Plata County,DURANGO,CO,37.15152777777778,-107.75377777777778,6689.4,1,9201,1,CB9EFA2F-3180-4301-BD57-BFE1F1B06B37
FNL,KFNL,Northern Colorado Rgnl,FORT COLLINS/LOVELAND,CO,40.451815833333335,-105.01132555555556,5020.3,2,8500,1,DF1D9BA4-873E-4C49-9B67-BE8BB8256709
GJT,KGJT,Grand Junction Rgnl,GRAND JUNCTION,CO,39.121499166666666,-108.52548555555555,4861.4,2,9339,1,39D494BE-4EE4-4057-98C3-7FDA202EF142
GXY,KGXY,Greeley-Weld County,GREELEY,CO,40.437416666666664,-104.63322222222222,4696.8,4,10000,1,B3BA8ACB-6989-4DCD-AE94-B3795CC245DE
