year,airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations
2020,BUF,34150231.0,1198.0,43206157.0,1251.0,77356388.0,2449.0
2020,BUR,52202657.0,979.0,55866415.0,858.0,108069072.0,1837.0
2020,BVU,36858.0,189.0,92527.0,259.0,129385.0,448.0
2020,BWD,362320.0,257.0,337623.0,278.0,699943.0,535.0
2020,BWG,23241.0,6.0,8530.0,6.0,31771.0,12.0
2020,BWI,256075347.0,6159.0,274932892.0,6313.0,531008239.0,12472.0
2020,BYH,290.0,1.0,0.0,1.0,290.0,2.0
2020,BZN,1155899.0,587.0,1862696.0,635.0,3018595.0,1222.0
2020,CAD,120.0,1.0,0.0,1.0,120.0,2.0
2020,CAE,72610942.0,1813.0,76294251.0,1822.0,148905193.0,3635.0
2020,CAK,54565.0,3.0,0.0,2.0,54565.0,5.0
2020,CDB,941641.0,409.0,1398278.0,410.0,2339919.0,819.0
2020,CDC,202787.0,254.0,430299.0,296.0,633086.0,550.0
2020,CDL,6000.0,4.0,156346.0,4.0,162346.0,8.0
2020,CDV,1008142.0,396.0,1595939.0,397.0,2604081.0,793.0
2020,CEC,73999.0,302.0,364603.0,312.0,438602.0,614.0
2020,CEW,0.0,1.0,17917.0,1.0,17917.0,2.0
2020,CEX,0.0,1.0,0.0,1.0,0.0,2.0
2020,CEZ,4596.0,2.0,4596.0,2.0,9192.0,4.0
2020,CGI,270.0,1.0,0.0,1.0,270.0,2.0
2020,CHA,10320202.0,289.0,8369512.0,288.0,18689714.0,577.0
2020,CHI,92550.0,2.0,0.0,0.0,92550.0,2.0
2020,CHS,24121298.0,417.0,38261982.0,778.0,62383280.0,1195.0
2020,CHU,15401.0,118.0,56768.0,113.0,72169.0,231.0
2020,CIC,139567.0,256.0,0.0,0.0,139567.0,256.0
2020,CID,53816236.0,1949.0,60281504.0,1829.0,114097740.0,3778.0
2020,CIK,1738.0,5.0,18543.0,5.0,20281.0,10.0
2020,CIU,138230.0,253.0,390402.0,276.0,528632.0,529.0
2020,CKB,10100.0,1.0,0.0,1.0,10100.0,2.0
2020,CKD,7553.0,131.0,92017.0,131.0,99570.0,262.0
2020,CKU,0.0,1.0,0.0,1.0,0.0,2.0
2020,CLE,85554860.0,1539.0,91663055.0,1341.0,177217915.0,2880.0
2020,CLL,149399.0,197.0,119633.0,188.0,269032.0,385.0
2020,CLM,480744.0,513.0,625224.0,511.0,1105968.0,1024.0
2020,CLT,146086689.0,2484.0,160656651.0,2498.0,306743340.0,4982.0
2020,CLU,32150.0,3.0,0.0,2.0,32150.0,5.0
