ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id,airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations,cargo_rank_2025,is_amazon_air,raw_cargo,score_cargo,score_runway_length,score_runway_count,score_runway,raw_catchment_pop,score_catchment,raw_weather_lat,score_weather,raw_min_dist_to_amazon_hub_mi,raw_capped_complementarity,score_complementarity,hub_fitness_index,fitness_rank,recommendation_rank
HNL,PHNL,Daniel K Inouye Intl,HONOLULU,HI,21.317824722222223,-157.92025027777777,13.5,6,12360,3,5B4DC1E6-846B-4FA9-AC56-95D841B38CE6,HNL,330487403.0,12860.0,551465499.0,10521.0,881952902.0,23381.0,13,False,881952902.0,56.672341069764386,56.671824782763956,66.66666666666666,59.67027734793476,441969,0.12293782898207294,21.317824722222223,94.3362810644639,2620.640100354305,1500.0,100.0,62.160367462229026,1,1
JFK,KJFK,John F Kennedy Intl,NEW YORK,NY,40.63992805555556,-73.77869222222222,13.0,4,14511,4,DD5FB154-0787-4B0F-8554-C033FAFA0155,JFK,378323941.0,5393.0,820004425.0,6739.0,1198328366.0,12132.0,10,False,1198328366.0,63.10179844188042,82.27591953338889,100.0,87.59314367337223,59243889,98.32943673915099,40.63992805555556,25.032402950609843,536.0142935177208,536.0142935177208,35.73416533329401,61.958189427661495,2,2
DFW,KDFW,Dallas-Fort Worth Intl,DALLAS-FORT WORTH,TX,32.89723305555555,-97.03769472222224,606.4,7,13401,7,B371E693-B91F-40ED-ABB1-628EFE9D3111,DFW,555851570.0,8311.0,695359380.0,8732.0,1251210950.0,17043.0,9,False,1251210950.0,64.00754559833068,69.06320676109988,100.0,78.34424473276991,24742062,40.70710679355846,32.89723305555555,52.80364406735926,810.7187813784609,810.7187813784609,54.0478323102483,57.982074700453325,3,3
